set_num,name,year,theme_id,num_parts,img_url,figs,retail,unique_figs,rating,retire_month,value,brickset_rating
42065-1,RC Tracked Racer,2017,1,370,https://cdn.rebrickable.com/media/sets/42065-1.jpg,0,74.99,0,4.5,December 2018,135.31,4.3
42066-1,Air Race Jet,2017,1,1151,https://cdn.rebrickable.com/media/sets/42066-1.jpg,0,109.99,0,4.5,August 2018,168.83,4.0
42068-1,Airport Rescue Vehicle,2017,1,1106,https://cdn.rebrickable.com/media/sets/42068-1.jpg,0,79.99,0,4.7,December 2018,185.49,3.9
42069-1,Extreme Adventure,2017,1,2382,https://cdn.rebrickable.com/media/sets/42069-1.jpg,0,139.99,0,4.5,November 2018,212.53,4.2
42070-1,6x6 All Terrain Tow Truck,2017,1,1862,https://cdn.rebrickable.com/media/sets/42070-1.jpg,0,219.99,0,4.6,January 2020,280.27,3.8
4207-1,City Garage,2012,63,938,https://cdn.rebrickable.com/media/sets/4207-1.jpg,5,79.99,5,4.2,January 2014,173.20,4.1
42074-1,Racing Yacht,2018,1,331,https://cdn.rebrickable.com/media/sets/42074-1.jpg,0,24.99,0,4.7,December 2019,62.82,3.9
42075-1,First Responder,2018,1,513,https://cdn.rebrickable.com/media/sets/42075-1.jpg,0,34.99,0,4.7,January 2020,71.67,3.9
42076-1,Hovercraft,2018,1,1020,https://cdn.rebrickable.com/media/sets/42076-1.jpg,0,59.99,0,4.4,December 2018,100.41,3.3
42077-1,Rally Car,2018,1,1005,https://cdn.rebrickable.com/media/sets/42077-1.jpg,0,89.99,0,4.5,December 2019,106.30,4.1
42078-1,Mack Anthem,2018,1,2595,https://cdn.rebrickable.com/media/sets/42078-1.jpg,0,139.99,0,4.7,December 2019,242.95,4.3
42079-1,Heavy Duty Forklift,2018,1,592,https://cdn.rebrickable.com/media/sets/42079-1.jpg,0,54.99,0,4.7,January 2020,102.04,4.0
42080-1,Forest Machine,2018,1,1003,https://cdn.rebrickable.com/media/sets/42080-1.jpg,0,119.99,0,4.7,March 2020,137.27,3.8
4208-1,4x4 Fire Truck,2012,58,243,https://cdn.rebrickable.com/media/sets/4208-1.jpg,1,17.99,1,4.7,November 2012,54.49,3.8
42081-1,Volvo Concept Wheel Loader ZEUX,2018,1,1167,https://cdn.rebrickable.com/media/sets/42081-1.jpg,0,109.99,0,4.5,January 2020,130.40,4.1
42082-1,Rough Terrain Crane,2018,1,4056,https://cdn.rebrickable.com/media/sets/42082-1.jpg,0,229.99,0,4.8,March 2021,304.88,4.4
