,id,theme,name,year of release,# of pieces,# of minifigures,Secondary market prices of new sets in 2015,Secondary market prices of used sets in 2015,Primary market price at release,age,Size group (1 - Biggest; 4 - Smallest),Profit Margin,Full Retirement Date,Years Since Retirement,Yearly Average Returns
45,10185,Advanced models,Green Grocer,2008,2352,4.0,905.38,631.58,149.99,7,1,6.03626908460564,2010-11-08T00:00:00Z,5.1506849315068495,1.4177034343713593
46,10186,Star Wars,General Grievous,2008,1085,0.0,189.87,91.47,89.99,7,2,2.109901100122236,2009-05-15T00:00:00Z,6.635616438356164,1.1190948937092147
47,10187,Advanced models,Volkswagen Beetle,2008,1626,0.0,763.93,410.87,119.99,7,1,6.366613884490374,2009-12-30T00:00:00Z,6.008219178082192,1.3608224404407823
48,10188,Star Wars,Death Star,2008,3803,22.0,490.38,326.03,399.99,7,1,1.225980649516238,2015-12-19T00:00:00Z,0.03561643835616438,
49,10189,Advanced models,Taj Mahal,2008,5922,0.0,2394.19,965.53,299.99,7,1,7.98089936331211,2010-11-28T00:00:00Z,5.095890410958904,1.5031957810242886
50,10190,Advanced models,Market Street,2007,1248,3.0,1539.47,666.13,89.99,8,1,17.107123013668186,2009-04-14T00:00:00Z,6.720547945205479,1.5257856180615899
51,10191,Factory,Star Justice,2008,895,8.0,76.73,75.0,99.99,7,2,0.7673767376737675,2009-02-24T00:00:00Z,6.854794520547945,0.9621098926857549
52,10192,Factory,Space Skulls,2008,956,4.0,51.77,21.07,99.99,7,2,0.5177517751775178,2009-07-30T00:00:00Z,6.427397260273972,0.9026552289178331
53,10193,Castle,Medieval Market Village,2009,1601,8.0,155.7,120.13,99.99,6,1,1.5571557155715572,2013-01-13T00:00:00Z,2.967123287671233,1.1609701377862176
54,10194,Trains,Emerald Night,2009,1085,3.0,384.35,266.0,99.99,6,2,3.8438843884388443,2011-11-25T00:00:00Z,4.104109589041096,1.3883024473868142
55,10195,Star Wars,Republic Dropship with AT-OT Walker,2009,1758,8.0,470.56,328.07,249.99,6,1,1.8823152926117044,2011-11-25T00:00:00Z,4.104109589041096,1.1666243895472814
56,10196,Advanced models,Grand Carousel,2009,3263,9.0,2278.0,1215.07,249.99,6,1,9.112364494579783,2010-11-28T00:00:00Z,5.095890410958904,1.5428180166584093
57,10197,Advanced models,Fire Brigade,2009,2231,4.0,298.33,248.18,149.99,6,1,1.9889992666177743,2013-12-02T00:00:00Z,2.0821917808219177,1.3913077589956635
